Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2021-12-22 17:43:57 UTC,1,Shvas Rune,,,0.001494837937398794890100361954,USD,21.43613159383564337190364313,usd,cost,NFT 47601 meditate,0xb24f35803f71bed4d306dbe4b73fa816a87c85e44f507d8e3af3f29fb89c6034,
2021-12-22 17:43:57 UTC,0.100,Jewel,,,0,USD,1.312701973745919836744633358,usd,cost,NFT 47601 levelup,0xb24f35803f71bed4d306dbe4b73fa816a87c85e44f507d8e3af3f29fb89c6034,
2021-12-22 17:48:10 UTC,1,Shvas Rune,,,0.001494837937398794890100361954,USD,21.43613159383564337190364313,usd,cost,NFT 51335 meditate,0x296c536079c44f0ae3d21ca8b567dd3ffbed7eaf4ebcb8a9daf978f58d52a9cd,
2021-12-22 17:48:10 UTC,0.100,Jewel,,,0,USD,1.312701973745919836744633358,usd,cost,NFT 51335 levelup,0x296c536079c44f0ae3d21ca8b567dd3ffbed7eaf4ebcb8a9daf978f58d52a9cd,
2021-12-22 17:50:53 UTC,1,Shvas Rune,,,0.001494837937398794890100361954,USD,21.43613159383564337190364313,usd,cost,NFT 51338 meditate,0x0fe7f65c089188dbd538035e11665098f02214be6dcf80a7be427682aa0faaef,
2021-12-22 17:50:53 UTC,0.100,Jewel,,,0,USD,1.312701973745919836744633358,usd,cost,NFT 51338 levelup,0x0fe7f65c089188dbd538035e11665098f02214be6dcf80a7be427682aa0faaef,
2021-12-22 17:53:00 UTC,1,Shvas Rune,,,0.001494809149178451599833117314,USD,21.43613159383564337190364313,usd,cost,NFT 53449 meditate,0x106370b4255007f72e6d7beb2589feeca91002ef81235de0bb22cbcd9898af27,
2021-12-22 17:53:00 UTC,0.100,Jewel,,,0,USD,1.312701973745919836744633358,usd,cost,NFT 53449 levelup,0x106370b4255007f72e6d7beb2589feeca91002ef81235de0bb22cbcd9898af27,
2022-01-06 15:38:00 UTC,2,Shvas Rune,,,0.004035943423526066238967277823,USD,43.95082690362269062234190642,usd,cost,NFT 30179 meditate,0x00c94c060922459f767f0a2120ba703f7404f9a3059a683b4c688fa2ed89e724,
2022-01-06 15:38:00 UTC,0.200,Jewel,,,0,USD,3.818799352822799164641764946,usd,cost,NFT 30179 levelup,0x00c94c060922459f767f0a2120ba703f7404f9a3059a683b4c688fa2ed89e724,
2022-01-06 15:42:09 UTC,2,Shvas Rune,,,0.004035866218022702139910253466,USD,43.95082690362269062234190642,usd,cost,NFT 38662 meditate,0x0ca46eb4880633b5d30432a9b40bfcde65995281808d80c82fc51e8203d016a0,
2022-01-06 15:42:09 UTC,0.200,Jewel,,,0,USD,3.818799352822799164641764946,usd,cost,NFT 38662 levelup,0x0ca46eb4880633b5d30432a9b40bfcde65995281808d80c82fc51e8203d016a0,
2022-01-06 20:57:58 UTC,2,Shvas Rune,,,0.004626926619192489317890472258,USD,43.95082690362269062234190642,usd,cost,NFT 32898 meditate,0x53d3526e901c22f4e1dc3274ba945bbdb02b821f245c838ac6bc81dd168c5e18,
2022-01-06 20:57:58 UTC,0.200,Jewel,,,0,USD,3.818799352822799164641764946,usd,cost,NFT 32898 levelup,0x53d3526e901c22f4e1dc3274ba945bbdb02b821f245c838ac6bc81dd168c5e18,
2022-01-06 21:24:13 UTC,2,Shvas Rune,,,0.001768149161396061799442769313,USD,43.95082690362269062234190642,usd,cost,NFT 38442 meditate,0x2e2b3ede1e29aecedec5da7debd4b2ce1aa40d9e0a2c4224db07a0eadf17e540,
2022-01-06 21:24:13 UTC,0.200,Jewel,,,0,USD,3.818799352822799164641764946,usd,cost,NFT 38442 levelup,0x2e2b3ede1e29aecedec5da7debd4b2ce1aa40d9e0a2c4224db07a0eadf17e540,
2022-01-06 21:26:05 UTC,2,Shvas Rune,,,0.001768149161396061799442769313,USD,43.95082690362269062234190642,usd,cost,NFT 39249 meditate,0xfdadf3b535817b629c8bf306bfb74d51a3c08e6a347348ecb32a0248bd163f39,
2022-01-06 21:26:05 UTC,0.200,Jewel,,,0,USD,3.818799352822799164641764946,usd,cost,NFT 39249 levelup,0xfdadf3b535817b629c8bf306bfb74d51a3c08e6a347348ecb32a0248bd163f39,
2022-01-07 14:17:28 UTC,2,Shvas Rune,,,0.005790835109709864750020535951,USD,42.95174692716781095214173547,usd,cost,NFT 40885 meditate,0xcbf223aa3a3df9737dc5c3f2e35edaa389d969e34e2fc2810fba1419ef865fd4,
2022-01-07 14:17:28 UTC,0.200,Jewel,,,0,USD,3.983339370172169680017759674,usd,cost,NFT 40885 levelup,0xcbf223aa3a3df9737dc5c3f2e35edaa389d969e34e2fc2810fba1419ef865fd4,
